DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-03-09 12:52:53.574,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
13251899,-0.1880,-0.6617,0.6287,-0.3626,-0.1403,-0.1373,0.1004,0
13252066,-0.1879,-0.6617,0.6287,-0.3627,-0.1465,-0.1926,0.1647,0
13252232,-0.1878,-0.6618,0.6287,-0.3627,-0.2054,-0.2055,0.2670,0
13252399,-0.1876,-0.6618,0.6287,-0.3628,-0.1733,-0.1628,0.1859,0
13252566,-0.1874,-0.6618,0.6287,-0.3629,-0.1503,-0.1238,0.1143,0
13252732,-0.1873,-0.6619,0.6286,-0.3628,-0.1760,-0.1318,0.1319,0
13252899,-0.1873,-0.6619,0.6286,-0.3628,-0.2215,-0.1901,0.2647,0
13253066,-0.1873,-0.6618,0.6286,-0.3630,-0.1956,-0.1911,0.2888,0
13253232,-0.1873,-0.6617,0.6286,-0.3633,-0.1477,-0.1278,0.1259,0
13253399,-0.1873,-0.6616,0.6286,-0.3635,-0.1209,-0.1198,0.1000,0
13253566,-0.1874,-0.6615,0.6285,-0.3636,-0.2253,-0.2264,0.1886,0
13253732,-0.1876,-0.6614,0.6284,-0.3640,-0.1645,-0.1833,0.2416,0
13253899,-0.1877,-0.6613,0.6283,-0.3643,-0.2424,-0.2273,0.1813,0
13254066,-0.1876,-0.6612,0.6283,-0.3644,-0.2052,-0.1173,0.1477,0
13254232,-0.1876,-0.6612,0.6283,-0.3645,-0.1691,-0.1406,0.1787,0
13254399,-0.1876,-0.6612,0.6283,-0.3646,-0.2020,-0.1965,0.1719,0
13254566,-0.1877,-0.6611,0.6282,-0.3647,-0.1945,-0.2067,0.1308,0
13254732,-0.1878,-0.6611,0.6282,-0.3648,-0.2063,-0.2498,0.1736,0
13254899,-0.1877,-0.6611,0.6283,-0.3648,-0.2024,-0.1495,0.1635,0
13255066,-0.1870,-0.6613,0.6284,-0.3644,-0.2185,-0.1849,0.0193,0
13255232,-0.1869,-0.6614,0.6284,-0.3643,-0.1014,-0.1007,0.2457,0
13255399,-0.1868,-0.6615,0.6284,-0.3641,-0.2830,-0.2711,0.2544,0
13255566,-0.1866,-0.6616,0.6285,-0.3639,-0.2806,-0.2633,0.1817,0
13255732,-0.1864,-0.6617,0.6286,-0.3638,0.0728,-0.0804,0.1325,0
13255899,-0.1862,-0.6619,0.6286,-0.3633,-0.5521,-0.2632,0.1035,0
13256066,-0.1863,-0.6620,0.6286,-0.3630,-0.2039,-0.2271,0.2793,0
13256232,-0.1864,-0.6619,0.6286,-0.3632,-0.1637,-0.1948,0.3185,0
13256399,-0.1866,-0.6618,0.6286,-0.3635,-0.1612,-0.1219,0.2011,0
13256566,-0.1869,-0.6616,0.6284,-0.3639,-0.1846,-0.1475,0.0890,0
13256732,-0.1873,-0.6615,0.6282,-0.3642,-0.2554,-0.1739,0.1229,0
13256899,-0.1879,-0.6614,0.6280,-0.3645,-0.3288,-0.2482,0.0449,0
13257066,-0.1889,-0.6612,0.6276,-0.3651,-0.2358,-0.1780,0.3671,0
13257232,-0.1907,-0.6608,0.6268,-0.3662,0.0083,0.0177,-0.0936,0
13257399,-0.1919,-0.6604,0.6263,-0.3670,-0.2879,-0.4762,0.3751,0
13257566,-0.1927,-0.6602,0.6259,-0.3677,-0.2789,-0.2748,0.3060,0
13257732,-0.1938,-0.6599,0.6254,-0.3687,-0.2501,-0.3866,0.2105,0
13257899,-0.1937,-0.6601,0.6252,-0.3685,-1.2175,0.0715,0.6124,0
13258066,-0.1957,-0.6591,0.6249,-0.3699,0.8298,-0.1830,-0.6468,0
13258232,-0.1975,-0.6588,0.6240,-0.3709,-0.3492,-0.2592,0.2494,0
13258399,-0.1995,-0.6585,0.6230,-0.3721,0.0005,-0.2051,0.2570,0
13258566,-0.2011,-0.6581,0.6220,-0.3736,-0.3993,-0.3587,0.4173,0
13258732,-0.2025,-0.6573,0.6215,-0.3751,-0.3165,-0.2084,0.2430,0
13258899,-0.2039,-0.6565,0.6210,-0.3766,-0.2792,-0.2019,0.0306,0
13259066,-0.2053,-0.6558,0.6206,-0.3777,-0.1684,-0.2805,0.1343,0
13259232,-0.2064,-0.6551,0.6202,-0.3790,-0.2340,-0.3264,0.3618,0
