DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-03-09 13:04:44.984,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
20369783,0.2212,0.3099,0.9242,0.0288,1.7018,-0.1888,0.7186,0
20369950,0.2228,0.3255,0.9186,0.0261,1.4715,-0.3969,0.6308,0
20370116,0.2243,0.3411,0.9126,0.0233,1.1494,-0.1483,0.6020,0
20370283,0.2255,0.3567,0.9064,0.0203,1.0247,0.1830,0.5912,0
20370450,0.2264,0.3724,0.8998,0.0169,0.9997,0.2419,0.4925,0
20370616,0.2273,0.3886,0.8928,0.0137,0.9074,-0.0688,0.4346,0
20370783,0.2278,0.4047,0.8856,0.0106,1.1598,-0.1070,0.4713,0
20370950,0.2279,0.4200,0.8784,0.0072,1.4537,0.1008,0.3688,0
20371116,0.2279,0.4341,0.8715,0.0038,1.5993,0.3927,0.3924,0
20371283,0.2275,0.4475,0.8648,0.0001,1.5877,0.3545,0.3986,0
20371450,0.2271,0.4607,0.8580,-0.0039,1.2963,0.0029,0.2840,0
20371616,0.2269,0.4742,0.8506,-0.0079,0.9973,-0.3840,0.2036,0
20371783,0.2271,0.4886,0.8424,-0.0116,0.9591,-0.5401,0.2444,0
20371950,0.2266,0.5034,0.8336,-0.0157,1.2560,-0.3172,0.5945,0
20372117,0.2257,0.5181,0.8247,-0.0204,1.6010,-0.2858,0.7342,0
20372283,0.2241,0.5316,0.8164,-0.0259,1.7349,-0.4958,0.5446,0
20372450,0.2229,0.5447,0.8079,-0.0306,1.2100,-0.8609,0.2680,0
20372617,0.2216,0.5579,0.7990,-0.0346,0.5974,-0.9714,0.1380,0
20372783,0.2200,0.5716,0.7896,-0.0377,0.2265,-0.7700,0.2015,0
20372950,0.2184,0.5863,0.7790,-0.0401,0.4096,-0.4810,0.2847,0
20373117,0.2168,0.6012,0.7680,-0.0421,1.0063,-0.5573,0.5627,0
20373283,0.2153,0.6153,0.7571,-0.0440,1.2459,-0.9424,0.6198,0
20373450,0.2133,0.6283,0.7467,-0.0462,0.9726,-1.2721,0.4829,0
20373617,0.2114,0.6413,0.7360,-0.0479,0.2583,-1.1893,-0.0097,0
20373783,0.2097,0.6552,0.7242,-0.0484,-0.1233,-0.7671,-0.2859,0
20373950,0.2079,0.6693,0.7117,-0.0478,0.1209,-0.7487,-0.0802,0
20374117,0.2051,0.6826,0.6999,-0.0475,0.8039,-0.9910,0.3853,0
20374283,0.2018,0.6943,0.6892,-0.0475,1.1952,-1.2458,0.4755,0
20374450,0.1987,0.7052,0.6790,-0.0474,0.7487,-0.9798,0.1806,0
20374617,0.1962,0.7161,0.6682,-0.0465,0.2052,-0.9623,0.0950,0
20374783,0.1938,0.7269,0.6573,-0.0450,0.0662,-1.1033,0.3150,0
20374950,0.1914,0.7370,0.6468,-0.0437,0.3577,-1.0846,0.3083,0
20375117,0.1881,0.7464,0.6369,-0.0437,0.7095,-1.0903,0.1864,0
20375283,0.1840,0.7553,0.6275,-0.0444,0.5952,-1.2914,-0.0007,0
20375450,0.1798,0.7643,0.6176,-0.0450,-0.1136,-1.3998,0.2840,0
20375617,0.1755,0.7735,0.6073,-0.0453,-0.3209,-1.0548,0.3682,0
20375783,0.1706,0.7827,0.5968,-0.0458,-0.4024,-0.6509,0.0784,0
20375950,0.1656,0.7910,0.5872,-0.0465,-0.0058,-0.7628,0.1506,0
20376117,0.1602,0.7985,0.5784,-0.0477,0.4621,-0.9597,0.2031,0
20376283,0.1544,0.8061,0.5692,-0.0493,0.0768,-0.9329,0.2350,0
20376450,0.1488,0.8142,0.5589,-0.0510,-0.7297,-0.8375,0.2084,0
20376617,0.1435,0.8226,0.5477,-0.0525,-0.9160,-0.8328,0.1765,0
20376783,0.1375,0.8305,0.5370,-0.0541,-0.6129,-0.8262,0.1575,0
20376950,0.1312,0.8375,0.5275,-0.0562,-0.4033,-0.9085,0.1324,0
20377117,0.1249,0.8434,0.5192,-0.0588,0.0588,-0.8098,0.0427,0
20377283,0.1186,0.8494,0.5106,-0.0612,-0.2845,-0.5104,-0.2210,0
20377450,0.1124,0.8551,0.5022,-0.0628,-1.0595,-0.3416,-0.2841,0
20377617,0.1073,0.8599,0.4949,-0.0638,-0.7304,-0.4704,-0.2243,0
20377783,0.1028,0.8639,0.4888,-0.0644,-0.5389,-0.1529,-0.2353,0
20377950,0.0997,0.8674,0.4832,-0.0648,-0.5637,0.0592,-0.2538,0
20378117,0.0973,0.8705,0.4780,-0.0651,-0.5012,-0.2143,-0.2614,0
20378283,0.0954,0.8732,0.4735,-0.0656,-0.5324,-0.3714,-0.2531,0
20378450,0.0947,0.8760,0.4683,-0.0657,-0.5441,-0.3529,-0.2228,0
20378617,0.0948,0.8789,0.4629,-0.0657,-0.6636,-0.4295,-0.0551,0
20378783,0.0950,0.8814,0.4580,-0.0658,-0.4272,-0.3900,0.0069,0
20378950,0.0949,0.8835,0.4539,-0.0663,-0.1258,-0.3348,-0.0995,0
20379117,0.0944,0.8852,0.4505,-0.0671,0.1531,-0.3661,-0.1974,0
20379283,0.0937,0.8868,0.4475,-0.0677,0.0430,-0.4554,-0.2000,0
20379450,0.0927,0.8879,0.4453,-0.0683,-0.1644,-0.6100,-0.0546,0
20379617,0.0916,0.8891,0.4432,-0.0686,-0.3247,-0.2368,-0.0349,0
20379783,0.0905,0.8906,0.4404,-0.0685,-0.4503,0.1591,-0.1243,0
20379950,0.0894,0.8922,0.4375,-0.0681,-0.3117,0.1454,-0.0473,0
20380117,0.0884,0.8937,0.4346,-0.0679,-0.1306,-0.0377,0.0926,0
