DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-06 12:30:27.399,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
5576752,0.5918,-0.1858,0.0482,-0.7829,1.0015,3.3816,-0.7074,0
5576918,0.5875,-0.2126,0.0516,-0.7791,0.3571,3.5943,-2.5247,0
5577085,0.5821,-0.2392,0.0520,-0.7754,-0.3936,3.6402,-3.8978,0
5577252,0.5762,-0.2648,0.0515,-0.7715,-1.1539,3.4123,-4.4572,0
5577419,0.5695,-0.2875,0.0515,-0.7683,-2.0458,2.9066,-5.4641,0
5577585,0.5620,-0.3065,0.0529,-0.7665,-2.7668,2.4329,-6.5045,0
5577752,0.5527,-0.3219,0.0544,-0.7668,-3.5395,1.6164,-7.6502,0
5577919,0.5432,-0.3330,0.0547,-0.7688,-3.9965,0.5784,-8.3652,0
5578085,0.5343,-0.3399,0.0534,-0.7721,-4.4303,-1.0100,-8.7452,0
5578252,0.5271,-0.3423,0.0516,-0.7761,-4.5560,-2.1890,-8.6905,0
5578419,0.5211,-0.3427,0.0482,-0.7802,-4.4430,-2.5209,-8.2762,0
5578585,0.5156,-0.3405,0.0434,-0.7851,-4.0936,-2.2464,-8.1269,0
5578752,0.5104,-0.3355,0.0366,-0.7909,-3.5604,-1.7375,-8.0519,0
5578919,0.5053,-0.3285,0.0279,-0.7975,-2.7964,-1.3900,-7.4206,0
5579085,0.5002,-0.3186,0.0187,-0.8050,-2.0113,-1.2918,-6.2278,0
5579252,0.4960,-0.3059,0.0104,-0.8126,-1.2495,-1.5252,-4.7124,0
5579419,0.4924,-0.2921,0.0030,-0.8199,-0.7672,-2.4442,-3.4824,0
5579585,0.4902,-0.2775,-0.0029,-0.8263,-0.3768,-2.9304,-2.6190,0
5579752,0.4899,-0.2629,-0.0070,-0.8311,-0.2929,-2.6467,-1.9395,0
5579919,0.4905,-0.2496,-0.0093,-0.8349,-0.3235,-1.9252,-1.5284,0
5580085,0.4912,-0.2355,-0.0092,-0.8386,-0.1918,-0.9378,-1.9013,0
5580252,0.4923,-0.2204,-0.0080,-0.8420,0.2092,-0.0721,-2.0201,0
5580419,0.4932,-0.2054,-0.0065,-0.8453,0.5571,0.2598,-1.2775,0
5580585,0.4940,-0.1901,-0.0048,-0.8484,0.4697,0.1947,-0.0470,0
5580752,0.4957,-0.1730,-0.0012,-0.8511,0.4238,-0.5945,0.5762,0
5580919,0.4973,-0.1559,0.0030,-0.8534,0.6687,-1.1002,0.8425,0
5581085,0.4996,-0.1386,0.0064,-0.8551,0.9352,-1.7180,1.0990,0
5581252,0.5046,-0.1195,0.0080,-0.8550,1.4924,-2.3119,1.1606,0
5581419,0.5104,-0.1011,0.0037,-0.8540,2.2116,-3.2613,2.2177,0
5581585,0.5166,-0.0865,-0.0068,-0.8518,2.7704,-4.6092,6.2565,0
5581752,0.5233,-0.0769,-0.0190,-0.8484,2.3079,-4.9600,11.5367,0
5581919,0.5307,-0.0734,-0.0297,-0.8439,2.1116,-3.0815,14.7137,0
5582085,0.5399,-0.0748,-0.0353,-0.8377,2.2144,-0.4796,15.7021,0
5582252,0.5496,-0.0821,-0.0353,-0.8306,2.3368,1.6985,15.5651,0
5582419,0.5594,-0.0937,-0.0296,-0.8230,2.5225,3.2896,14.5977,0
5582585,0.5693,-0.1087,-0.0177,-0.8147,2.4889,4.3492,13.1298,0
5582752,0.5780,-0.1263,-0.0013,-0.8062,2.4882,4.8716,10.1752,0
5582919,0.5847,-0.1462,0.0181,-0.7977,2.5172,4.8097,6.6059,0
5583085,0.5885,-0.1693,0.0363,-0.7898,2.1716,4.7245,3.3330,0
5583252,0.5878,-0.1971,0.0493,-0.7831,1.4392,4.8835,0.4900,0
5583419,0.5835,-0.2281,0.0564,-0.7774,0.7024,4.7019,-2.4094,0
5583585,0.5774,-0.2594,0.0592,-0.7719,-0.1836,4.4242,-4.0794,0
5583752,0.5707,-0.2887,0.0609,-0.7663,-1.3422,4.1018,-5.5671,0
5583919,0.5629,-0.3150,0.0620,-0.7617,-2.3607,3.5967,-7.0054,0
5584085,0.5548,-0.3371,0.0636,-0.7579,-3.3314,2.7858,-8.0742,0
5584252,0.5471,-0.3547,0.0655,-0.7554,-4.1810,1.8056,-8.7215,0
5584419,0.5391,-0.3675,0.0669,-0.7549,-5.1282,0.6307,-9.3832,0
5584585,0.5309,-0.3755,0.0664,-0.7568,-5.6663,-0.5013,-9.7860,0
5584752,0.5237,-0.3786,0.0654,-0.7604,-5.9971,-1.6781,-9.8273,0
5584919,0.5174,-0.3768,0.0629,-0.7658,-6.1112,-2.3433,-9.8864,0
5585085,0.5116,-0.3714,0.0582,-0.7726,-5.8412,-2.6925,-9.7304,0
5585252,0.5059,-0.3628,0.0507,-0.7809,-5.1267,-3.1178,-9.4656,0
5585419,0.5007,-0.3514,0.0414,-0.7900,-4.3268,-3.5018,-8.9677,0
5585585,0.4965,-0.3363,0.0325,-0.7996,-3.5638,-3.8954,-8.1891,0
5585752,0.4927,-0.3181,0.0253,-0.8096,-2.7524,-3.7600,-6.9712,0
5585919,0.4886,-0.2974,0.0198,-0.8201,-2.1050,-3.2519,-5.9608,0
5586085,0.4841,-0.2753,0.0160,-0.8304,-1.1495,-3.4156,-5.2858,0
5586252,0.4803,-0.2526,0.0123,-0.8398,-0.4162,-3.7303,-4.8138,0
5586419,0.4789,-0.2288,0.0090,-0.8475,0.5378,-3.3117,-3.4953,0
5586585,0.4794,-0.2062,0.0059,-0.8530,1.2471,-2.0326,-1.5506,0
5586752,0.4822,-0.1866,0.0008,-0.8559,1.6787,-1.2509,0.0092,0
5586919,0.4851,-0.1674,-0.0042,-0.8583,1.8750,-0.6166,1.2113,0
5587085,0.4874,-0.1466,-0.0067,-0.8608,2.6261,0.0455,1.2771,0
5587252,0.4902,-0.1237,-0.0095,-0.8627,3.2024,0.0558,1.8791,0
5587419,0.4937,-0.1022,-0.0167,-0.8635,3.4856,-0.8283,4.3205,0
5587585,0.4975,-0.0884,-0.0334,-0.8623,3.2126,-1.7937,7.2466,0
5587752,0.5014,-0.0816,-0.0552,-0.8596,3.0909,-1.5528,9.2278,0
5587919,0.5065,-0.0780,-0.0742,-0.8555,2.4374,0.2082,10.4678,0
5588085,0.5110,-0.0768,-0.0883,-0.8516,1.6708,2.1162,11.0044,0
5588252,0.5144,-0.0765,-0.0945,-0.8489,0.8771,3.1505,11.7634,0
5588419,0.5188,-0.0747,-0.0885,-0.8470,0.4589,3.5003,12.0083,0
5588585,0.5256,-0.0726,-0.0721,-0.8446,0.3875,3.1553,11.2577,0
5588752,0.5323,-0.0726,-0.0512,-0.8419,0.7475,2.3081,9.6074,0
5588919,0.5373,-0.0786,-0.0334,-0.8390,1.3000,1.9157,8.1102,0
5589085,0.5407,-0.0932,-0.0226,-0.8358,1.2009,1.8406,7.3931,0
5589252,0.5437,-0.1144,-0.0151,-0.8313,1.1838,2.2907,6.8393,0
5589419,0.5463,-0.1396,-0.0076,-0.8258,1.3288,2.5985,5.9703,0
5589585,0.5482,-0.1658,0.0021,-0.8197,1.5974,3.3404,4.4893,0
5589752,0.5484,-0.1916,0.0134,-0.8139,1.5006,3.3987,2.5367,0
5589919,0.5459,-0.2171,0.0245,-0.8089,1.0021,3.1455,0.6198,0
5590085,0.5415,-0.2436,0.0332,-0.8040,0.3321,2.7548,-1.3977,0
5590252,0.5369,-0.2690,0.0409,-0.7985,-0.4439,2.4709,-2.5934,0
5590419,0.5323,-0.2928,0.0469,-0.7929,-1.2221,2.1617,-3.8434,0
5590585,0.5266,-0.3149,0.0505,-0.7880,-2.3058,1.9806,-4.8921,0
5590752,0.5199,-0.3350,0.0530,-0.7840,-3.1976,2.0316,-5.8524,0
5590919,0.5128,-0.3518,0.0571,-0.7810,-3.8540,1.5766,-5.9551,0
5591085,0.5048,-0.3629,0.0623,-0.7808,-4.6900,1.2158,-6.7440,0
5591252,0.4956,-0.3698,0.0673,-0.7830,-5.1362,1.0253,-7.2136,0
5591419,0.4853,-0.3730,0.0719,-0.7875,-5.5416,0.6918,-7.3889,0
5591585,0.4740,-0.3743,0.0743,-0.7936,-5.7238,0.5053,-7.7216,0
5591752,0.4619,-0.3735,0.0739,-0.8011,-5.8463,-0.0561,-8.1560,0
5591919,0.4491,-0.3687,0.0713,-0.8107,-5.9842,-0.6232,-8.9629,0
5592085,0.4359,-0.3581,0.0649,-0.8231,-5.9551,-1.5385,-10.3655,0
5592252,0.4237,-0.3420,0.0542,-0.8370,-5.5109,-3.1613,-11.3329,0
5592419,0.4145,-0.3205,0.0389,-0.8508,-4.1133,-4.8453,-11.5125,0
5592585,0.4100,-0.2925,0.0231,-0.8636,-2.4184,-6.0464,-10.4720,0
5592752,0.4088,-0.2597,0.0074,-0.8749,-0.4519,-5.3778,-8.4392,0
5592919,0.4080,-0.2286,-0.0083,-0.8839,1.3599,-3.7939,-6.0832,0
5593085,0.4083,-0.2027,-0.0246,-0.8897,2.5757,-3.2431,-3.5095,0
5593252,0.4115,-0.1812,-0.0379,-0.8924,2.8466,-2.4982,-0.1733,0
5593419,0.4159,-0.1623,-0.0468,-0.8936,2.4594,-2.1800,2.0701,0
5593585,0.4212,-0.1437,-0.0504,-0.8941,3.0480,-1.9770,1.4576,0
5593752,0.4276,-0.1251,-0.0504,-0.8938,3.4969,-1.4527,1.6836,0
5593919,0.4340,-0.1050,-0.0497,-0.8934,4.0818,-1.4568,2.4554,0
5594086,0.4406,-0.0863,-0.0516,-0.8921,4.2350,-1.3296,4.1218,0
